date,series_id,tree_id,tree_name,site,tree_genus_species_original,tree_genus_species,TWD_mean,TWD_median,TWD_min,TWD_max,n_obs,n_excluded,qc_flag
2025-04-04,1883,913,Fichte3_P1,P1,Abies alba,Abies alba,99.4282205,88.291251,10.568736,215.825462,144,0,Valid
2025-04-04,1884,914,Fichte1_G1,G1,Abies alba,Abies alba,125.75700079166667,115.00165150000001,44.890247,238.318251,144,0,Valid
2025-04-04,1885,915,Fichte2_G1,G1,Abies alba,Abies alba,211.64826758333334,203.76861200000002,114.681111,312.579622,144,0,Valid
2025-04-04,1886,916,Fichte3_G1,G1,Abies alba,Abies alba,9.0160815,8.715856500000001,0.770455,15.278793,144,0,Valid
2025-04-04,1887,917,Buche1_G1,G1,Fagus sylvatica,Fagus sylvatica,56.81352897222222,55.8762785,32.629709,74.592095,144,0,Valid
2025-04-04,1888,918,Buche2_G1,G1,Fagus sylvatica,Fagus sylvatica,39.863102625,41.5510685,23.893674,49.546253,144,0,Valid
2025-04-04,1889,919,Buche3_G1,G1,Fagus sylvatica,Fagus sylvatica,40.576723701388886,40.3247245,23.862758,54.114396,144,0,Valid
2025-04-04,1890,920,Fichte1_P2,P2,Abies alba,Abies alba,32.395252604166664,30.09715,4.047052,64.820301,144,0,Valid
2025-04-04,1891,921,Fichte2_P2,P2,Abies alba,Abies alba,33.08174095138889,32.6037315,0,67.624892,144,0,Valid
2025-04-04,1892,922,Fichte3_P2,P2,Abies alba,Abies alba,64.24046404166667,66.7391035,14.234308,105.380934,144,0,Valid
2025-04-04,1893,923,Buche1_P2,P2,Fagus sylvatica,Fagus sylvatica,31.204523493055554,31.730489,16.107732,41.537607,144,0,Valid
2025-04-04,1894,924,Buche2_P2,P2,Fagus sylvatica,Fagus sylvatica,74.5268115625,75.570745,52.24478,93.316152,144,0,Valid
2025-04-04,1895,925,Buche3_P2,P2,Fagus sylvatica,Fagus sylvatica,49.178170854166666,49.2402445,35.569411,61.248096,144,0,Valid
2025-04-04,1896,926,Buche1_P3,P3,Fagus sylvatica,Fagus sylvatica,47.468397555555555,47.0293705,33.736495,58.951368,144,0,Valid
2025-04-04,1897,927,Buche2_P3,P3,Fagus sylvatica,Fagus sylvatica,17.084535006944446,19.195457,9.719469,20.137343,144,0,Valid
2025-04-04,1898,928,Buche3_P3,P3,Fagus sylvatica,Fagus sylvatica,45.160426118055554,43.3369065,30.147289,62.19358,144,0,Valid
2025-04-04,1899,929,Fichte1_P3,P3,Fagus sylvatica,Abies alba,21.76469290972222,24.459875,1.391353,41.066316,144,0,Valid
2025-04-04,1900,930,Fichte2_P3,P3,Fagus sylvatica,Abies alba,67.39815202083334,66.359975,39.366751,93.705784,144,0,Valid
2025-04-04,1901,931,Fichte3_P3,P3,Fagus sylvatica,Abies alba,18.030563347222223,18.356745,0,35.452062,144,0,Valid
2025-04-05,1878,908,Buche1_P1,P1,Fagus sylvatica,Fagus sylvatica,25.18307338888889,25.084797000000002,10.635186,33.546171,144,0,Valid
2025-04-05,1879,909,Buche2_P1,P1,Fagus sylvatica,Fagus sylvatica,42.16163445138889,43.3984285,27.510515,52.395364,144,0,Valid
2025-04-05,1880,910,Buche3_P1,P1,Fagus sylvatica,Fagus sylvatica,45.374514222222224,43.989042999999995,31.304498,57.151168,144,0,Valid
2025-04-05,1881,911,Fichte1_P1,P1,Abies alba,Abies alba,147.1793780763889,139.6451775,48.22653,260.585526,144,0,Valid
2025-04-05,1882,912,Fichte2_P1,P1,Abies alba,Abies alba,138.6594208888889,103.626328,11.347446,319.488543,144,0,Valid
2025-04-05,1883,913,Fichte3_P1,P1,Abies alba,Abies alba,98.753433125,84.3686025,0.647573,223.898338,144,0,Valid
2025-04-05,1884,914,Fichte1_G1,G1,Abies alba,Abies alba,123.8260256388889,111.519443,42.121723,231.300867,144,0,Valid
2025-04-05,1885,915,Fichte2_G1,G1,Abies alba,Abies alba,223.97481799305555,209.62607300000002,121.459218,326.468612,144,0,Valid
2025-04-05,1886,916,Fichte3_G1,G1,Abies alba,Abies alba,7.413934506944445,7.561817,0,15.393651,144,0,Valid
2025-04-05,1887,917,Buche1_G1,G1,Fagus sylvatica,Fagus sylvatica,63.40865471527778,59.465907,36.427332,85.343071,144,0,Valid
2025-04-05,1888,918,Buche2_G1,G1,Fagus sylvatica,Fagus sylvatica,42.03837693055556,43.756062,24.694842,52.728121,144,0,Valid
2025-04-05,1889,919,Buche3_G1,G1,Fagus sylvatica,Fagus sylvatica,43.416315131944444,41.878502,24.877414,57.858783,144,0,Valid
2025-04-05,1890,920,Fichte1_P2,P2,Abies alba,Abies alba,30.612543729166667,26.938491,0.519557,64.464355,144,0,Valid
2025-04-05,1891,921,Fichte2_P2,P2,Abies alba,Abies alba,30.11609004861111,25.8119355,0,70.099239,144,0,Valid
2025-04-05,1892,922,Fichte3_P2,P2,Abies alba,Abies alba,51.686421527777775,54.0187205,0,98.874215,144,0,Valid
2025-04-05,1893,923,Buche1_P2,P2,Fagus sylvatica,Fagus sylvatica,33.8089045,33.194883000000004,17.01698,45.649723,144,0,Valid
2025-04-05,1894,924,Buche2_P2,P2,Fagus sylvatica,Fagus sylvatica,77.74300265972222,76.87840750000001,52.141662,98.453523,144,0,Valid
2025-04-05,1895,925,Buche3_P2,P2,Fagus sylvatica,Fagus sylvatica,51.91470768055556,51.9351235,35.608593,66.282654,144,0,Valid
2025-04-05,1896,926,Buche1_P3,P3,Fagus sylvatica,Fagus sylvatica,50.61312922222222,48.0669135,34.768336,65.101171,144,0,Valid
2025-04-05,1897,927,Buche2_P3,P3,Fagus sylvatica,Fagus sylvatica,17.916686708333334,19.7474115,10.931119,21.614306,144,0,Valid
2025-04-05,1898,928,Buche3_P3,P3,Fagus sylvatica,Fagus sylvatica,48.37481448611111,46.160515000000004,31.996786,64.671017,144,0,Valid
2025-04-05,1899,929,Fichte1_P3,P3,Fagus sylvatica,Abies alba,16.617429416666667,14.6607315,0,39.539043,144,0,Valid
2025-04-05,1900,930,Fichte2_P3,P3,Fagus sylvatica,Abies alba,69.70512327083334,65.8485695,36.324995,100.119753,144,0,Valid
2025-04-05,1901,931,Fichte3_P3,P3,Fagus sylvatica,Abies alba,15.604477868055556,13.620168499999998,0,36.54263,144,0,Valid
2025-04-06,1878,908,Buche1_P1,P1,Fagus sylvatica,Fagus sylvatica,28.517619118055556,27.833320999999998,21.811204,36.551228,144,0,Valid
2025-04-06,1879,909,Buche2_P1,P1,Fagus sylvatica,Fagus sylvatica,50.15842280555555,48.9906335,40.783123,61.149384,144,0,Valid
2025-04-06,1880,910,Buche3_P1,P1,Fagus sylvatica,Fagus sylvatica,51.314690722222224,49.3477735,44.36174,60.300065,144,0,Valid
2025-04-06,1881,911,Fichte1_P1,P1,Abies alba,Abies alba,141.1228802638889,137.695137,95.887168,195.984715,144,0,Valid
2025-04-06,1882,912,Fichte2_P1,P1,Abies alba,Abies alba,117.15510402083333,99.779747,55.950497,209.333313,144,0,Valid
2025-04-06,1883,913,Fichte3_P1,P1,Abies alba,Abies alba,88.32243075,87.7524255,49.406913,136.491005,144,0,Valid
